id,type,category,category_name,channel,message,label,target_behaviour,notes
SA-CLS-1-F001,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: GTBank: Acct ***4521 DEBITED ₦5,000.00 on 12-Jun-26. Desc: POS SHOPRITE IKEJA. Avail Bal: ₦45,200.50. Unauthorised? Call 07003000000 or visit gtbank.com",safe,classify_safe,Standard GTBank transaction alert format. Official customer number. Balance provided. No link. No credential request. No urgency trigger. Masked account number is correct practice.
SA-CLS-1-F002,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: Kuda: ₦150,000.00 has been sent to your wallet from Adaeze Okonkwo on 12 Jun. Your new balance is ₦162,450.00. Open the Kuda app to view full details.",safe,classify_safe,Standard Kuda credit alert. Named sender. Balance provided. Directs to official app. No link. No credential request. No urgency.
SA-CLS-1-F003,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: OPay: You transferred ₦25,000 to 07034XXXXXX (Emeka Chukwu) on Jun 12 at 10:23am. Transaction ID: OP20260612003421. Wallet balance: ₦8,450.00. Not you? Call 0700-OPAY-NG.",safe,classify_safe,Standard OPay transfer confirmation. Transaction ID provided. Balance shown. Official contact number. No link. No credential request.
SA-CLS-1-F004,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: ACCESS BANK: Your debit card ending 7823 was used for ₦12,500 at DOMINOS PIZZA VICTORIA ISLAND on 12/06/26 at 13:47. Available balance: ₦203,450. Not you? Call 01-2712005 immediately.",safe,classify_safe,Standard Access Bank card transaction alert. Masked card number. Specific merchant and time. Official number for disputes. No link. No credential request.
SA-CLS-1-F005,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: FirstBank: A successful login to your Internet Banking was recorded on 12/06/26 at 09:15am. Not you? Call 01-4485500 or change your password at firstbanknigeria.com immediately. FirstBank will NEVER ask for your password via SMS or phone.",safe,classify_safe,Legitimate security notification. Official FirstBank number. Official domain. Explicit statement that FirstBank will not request passwords via SMS is a hallmark of genuine security communications.
SA-CLS-1-F006,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: ZENITH BANK: Acct ***2891 debited ₦500.00 for Airtime recharge to 08034XXXXXX on 12-Jun-2026. Balance: ₦78,250.00. Queries: 01-2787000.",safe,classify_safe,Standard Zenith Bank debit alert. Masked account. Small airtime transaction. Official contact number. No link. No credential request. Correct Zenith Bank number format.
SA-CLS-1-F007,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: MONIEPOINT: Your business settlement of ₦285,400.00 for transactions on June 12 has been processed. Funds will reflect in your linked GTBank account ***4521 within 24 hours. View details in your Moniepoint app.",safe,classify_safe,Standard Moniepoint settlement notification. Specific settlement amount. Masked account reference. Directs to official app. No link. No credential request.
SA-CLS-1-F008,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: PalmPay: Your Pocket savings interest of ₦850.00 has been credited for June 2026. Total Pocket balance: ₦52,850.00. Keep saving to grow your earnings. Open the PalmPay app for full details.",safe,classify_safe,Standard PalmPay savings interest credit. Small interest amount is realistic. Balance provided. Directs to official app. No urgency. No link. No credential request.
SA-CLS-1-S001,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: GTBank Alert: Your account has been temporarily restricted due to a suspicious login attempt from an unrecognised device. To restore access immediately, verify your identity at gtb-secure-verify.com. Enter your OTP to confirm. This restriction will become permanent if not resolved within 2 hours.",scam,classify_scam,Lookalike domain (gtb-secure-verify.com). OTP request. Account suspension threat. 2-hour urgency trigger. GTBank impersonation.
SA-CLS-1-S002,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: KUDA BANK SECURITY: We have detected unusual activity on your wallet. Your account has been placed under review. To avoid suspension, verify your details at kuda-bank-verify.net. Log in with your email and password to confirm your identity. Action required within 24 hours.",scam,classify_scam,Lookalike domain (kuda-bank-verify.net). Email and password harvesting. Account suspension threat. 24-hour deadline.
SA-CLS-1-S003,classification,1,Phishing and fake bank alerts,WhatsApp,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: Hello, I am calling from OPay customer support. We have detected an attempted transfer of ₦450,000 from your wallet that we have placed on hold. To cancel this transfer and secure your account, please share the OTP currently showing on your OPay app. Our security team is standing by.",scam,classify_scam,OTP harvesting via WhatsApp. Fake customer support impersonation. Urgent transfer cancellation pretext. OPay impersonation.
SA-CLS-1-S004,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: ACCESS BANK: An unauthorised debit of ₦285,000 has been attempted on your account ending 4521. If you did NOT authorise this, call our fraud reversal line IMMEDIATELY: 08099001234. Do not use any other number. Your funds are at risk.",scam,classify_scam,Non-official callback number. Urgent fund-at-risk framing. Large unauthorised debit claim. Access Bank impersonation.
SA-CLS-1-S005,classification,1,Phishing and fake bank alerts,SMS,"Classify the following message as scam, suspicious, or safe and briefly explain your reasoning.

Message: FIRST BANK SECURITY: Your internet banking password expires in 1 hour. Failure to reset before expiry will lock your account. Reset now: firstbank-password-reset.com. You will need to enter your current password to generate a new one. Act immediately.",scam,classify_scam,Fake password expiry. Current password harvesting via lookalike domain. 1-hour urgency trigger. First Bank impersonation.
